step,AAPL,MSFT,JPM,GS,BA,CAT,MMM,HON,IBM,NVDA,KO,MCD,MRK,MS,NKE,PG,TRV,UNH,V,VZ,WMT,CVX,XOM,AMGN,AXP,CRM,CSCO,DIS,HD,JNJ,CASH
10,0.03578944333292357,0.013693149607282101,0.051738051452459015,0.05583150093413291,0.027981718834469493,0.03605522154055057,0.02239209884226656,0.02220876061818315,0.034798062460572314,0.022800386333704473,0.021677934226093494,0.035742962700004974,0.041130097062601914,0.017408231622761363,0.04725503381370697,0.018052329560492228,0.0675100479857984,0.021443577250922604,0.06356195293248774,0.021729301558544,0.02535702751236023,0.023981149425633997,0.05400388467536584,0.05361151252018226,0.02214912188991856,0.0277272507559352,0.03951680369961515,0.01995751934579111,0.03548209586456235,0.019413771511201904,1.2947567333488813e-10
11,0.03627536893525116,0.01360198144660541,0.050733758484147254,0.05509879550388705,0.028483931124493343,0.035126830923311904,0.022418195060063362,0.02145413621789193,0.03441324394878996,0.023258096279324833,0.02220915282938008,0.03534625465726602,0.04165256744469303,0.017571161034101043,0.048022098935327114,0.01828597616806067,0.06665736882565639,0.02158485051030035,0.06371720933684434,0.02197040459583485,0.024787636621713398,0.023436042068896712,0.05509703347904799,0.05474429084889454,0.022694874744136274,0.028450065267694204,0.03887623737861093,0.02010328559767805,0.03514993435568159,0.01877921724764306,1.2877319746127912e-10
12,0.03577918035554621,0.013774938901639203,0.05115283990162787,0.05610669742733451,0.028651379790087757,0.0361226154431605,0.02250741101656863,0.02230073308485891,0.03539736380611979,0.023477925800214152,0.022339206508092513,0.0355587555900565,0.03733822381827371,0.017940044180839054,0.048370400272022405,0.018115453987977388,0.06708755740440167,0.021448120654995743,0.06499294932192727,0.02196520092061354,0.024973657361036964,0.023392998892694042,0.052869895848367134,0.05473666463572144,0.021841382811630377,0.027694691425070677,0.03870471047304815,0.020283995800037553,0.03589561260375926,0.019179391833659073,1.2861798995090498e-10
13,0.036005160234469744,0.013792611134607675,0.04942290380822031,0.05559242554211826,0.02786647461278763,0.03538136009818601,0.022704280805062836,0.022026564619195114,0.03469003787582062,0.02280295017990998,0.021874554726212886,0.035882510817020055,0.04129320206228101,0.017881108303060438,0.04792718728920941,0.018272384368901877,0.06684752493333954,0.02169582139252642,0.0650195950361177,0.02146290768546399,0.025109486598584474,0.023323297893724157,0.053040695293280544,0.05587576754203673,0.022246569759841687,0.028152259488280356,0.03894092421971384,0.020410680197245925,0.0353213116000711,0.01913744175352553,1.291841728424736e-10
14,0.03511573879693817,0.013668494039347279,0.04939464589127319,0.055959815886571285,0.02855328264148717,0.03542621480656266,0.022709029974888884,0.02184497180043877,0.03438818239057597,0.023193022192558206,0.02158245325933258,0.03586260420055394,0.04274274533070052,0.018085245139053713,0.04838727556299682,0.018342826419468477,0.06758663034849466,0.02222414092731725,0.06424432996816623,0.021611606312042262,0.02501914008408801,0.023205383114251923,0.0525035667282784,0.05534892787899022,0.021784545881177356,0.02775823013243058,0.03939438556528168,0.019432551067450662,0.035691134614227286,0.018938639942017204,2.3910303873739266e-07
15,0.03551703463611131,0.013464241798502244,0.051677559363308256,0.05522016770769472,0.02814840526483137,0.03587652499523811,0.023293798977497913,0.022387005967703735,0.03421218441417799,0.02306640259644507,0.021546163184919,0.03646552165161656,0.042254180162591436,0.017696336556117447,0.04820920338912831,0.01824134331029194,0.0657042136606829,0.023304486730462114,0.06371091329239638,0.02154040594549544,0.025293276255523797,0.02338825181614803,0.05239116957491829,0.054171086207383735,0.021989484139649365,0.027878370462453367,0.03862884581069081,0.019960619753126203,0.03521736331215333,0.01954543868535777,3.773830907977565e-10
16,0.033356245233075184,0.01323531497501267,0.052948514274427115,0.05643538492762119,0.028747689227764384,0.0351488189390432,0.0220967903248343,0.022128169206189537,0.036261096517042596,0.023136065574968313,0.021804391620925928,0.03609276356283596,0.03996731938526268,0.01750969028707374,0.048730910298357466,0.01814333066533251,0.06591809271804956,0.020863771705253786,0.06473027000262091,0.02207762327896144,0.025013617925884597,0.023965419466539815,0.05311242884984115,0.05503720220783345,0.021950036908766676,0.028181460366918248,0.039268567945595495,0.019889566559987717,0.03485668001329056,0.01939276689812255,1.3256717709790262e-10
17,0.03424318003177398,0.013451185318204743,0.051069001955841284,0.05625988822857894,0.02875560356389385,0.03575091397733334,0.022538255783432205,0.021595598402069614,0.03463328037712705,0.023333120474540035,0.021542239678354263,0.035168834192269176,0.04161485673515111,0.01724636926225747,0.0487410617432956,0.018061696147117865,0.0682370081555204,0.020926147557577494,0.0651751061868266,0.02158102834579542,0.024361701194189872,0.023785905509776155,0.053851933114960046,0.054863946621218,0.02191518441010915,0.028175152732601287,0.03875593513743822,0.020152753813362376,0.0350825373820084,0.01913057383246269,1.3491344153355064e-10
18,0.035220569527115345,0.01337228109040053,0.05126262464702797,0.056138814104517286,0.028531252301160454,0.035409145130924836,0.02274213063113847,0.022271123647814948,0.03502305812005366,0.023324246771992723,0.02145320506848804,0.035627531324480294,0.04139495592131501,0.017354371762630983,0.048377886163265445,0.018060807555983858,0.06620199429413705,0.02115230242011407,0.06445579234445699,0.021906886925798154,0.025236893300088954,0.023718679580449358,0.05374569171677578,0.05468179758249457,0.022235783641961892,0.027843948001284445,0.039765460220246594,0.019660236834522997,0.03465819266735885,0.019172100377802086,2.363241984223695e-07
19,0.034595836872306635,0.013317156389197842,0.05212863430864216,0.05667775538955168,0.029203392221560986,0.03555508631840757,0.02237043075021966,0.021941981269393722,0.035362714113092435,0.023844288987569736,0.021493511967141478,0.03615676508455479,0.04023908618116634,0.01709760005512041,0.04912745982474678,0.017963154078760857,0.06625815408517285,0.021133670706638474,0.06407208785008535,0.02256577873009017,0.02421479552693286,0.02381965210242482,0.05362125266501136,0.05387659335921609,0.02201514310927877,0.0279769876494269,0.039276368163573466,0.019744070159029518,0.03506256116253744,0.01928803055372045,3.65428339794991e-10
